"Date";"Ethereum Volatility Index"
"2020-04-15 00:00:00";105.48
"2020-04-16 00:00:00";103.27
"2020-04-17 00:00:00";102.55
"2020-04-18 00:00:00";99.87
"2020-04-19 00:00:00";101.69
"2020-04-20 00:00:00";99.97
"2020-04-21 00:00:00";102.54
"2020-04-22 00:00:00";95.87
"2020-04-23 00:00:00";96.44
"2020-04-24 00:00:00";94.66
"2020-04-25 00:00:00";88.25
"2020-04-26 00:00:00";90.54
"2020-04-27 00:00:00";91.7
"2020-04-28 00:00:00";95.82
"2020-04-29 00:00:00";95.17
"2020-04-30 00:00:00";105.52
"2020-05-01 00:00:00";98.41
"2020-05-02 00:00:00";95.33
"2020-05-03 00:00:00";95.9
"2020-05-04 00:00:00";102.41
"2020-05-05 00:00:00";100.06
"2020-05-06 00:00:00";95.23
"2020-05-07 00:00:00";96.42
"2020-05-08 00:00:00";94.15
"2020-05-09 00:00:00";93.85
"2020-05-10 00:00:00";112.85
"2020-05-11 00:00:00";111.55
"2020-05-12 00:00:00";96.94
"2020-05-13 00:00:00";96.77
"2020-05-14 00:00:00";99.58
"2020-05-15 00:00:00";101.44
"2020-05-16 00:00:00";91.65
"2020-05-17 00:00:00";97.52
"2020-05-18 00:00:00";99.74
"2020-05-19 00:00:00";95.95
"2020-05-20 00:00:00";88.99
"2020-05-21 00:00:00";89.65
"2020-05-22 00:00:00";90.15
"2020-05-23 00:00:00";85.86
"2020-05-24 00:00:00";87.3
"2020-06-04 00:00:00";82.06
"2020-06-05 00:00:00";74.73
"2020-06-06 00:00:00";74.33
"2020-06-07 00:00:00";74.62
"2020-06-08 00:00:00";72.71
"2020-06-09 00:00:00";72.65
"2020-06-10 00:00:00";75.9
"2020-06-11 00:00:00";79.15
"2020-06-12 00:00:00";73.57
"2020-06-13 00:00:00";72.39
"2020-06-14 00:00:00";73.83
"2020-06-15 00:00:00";77.4
"2020-06-16 00:00:00";76.06
"2020-06-17 00:00:00";74.96
"2020-06-18 00:00:00";73.63
"2020-06-19 00:00:00";70.95
"2020-06-21 00:00:00";70.81
"2020-06-22 00:00:00";69.03
"2020-06-23 00:00:00";69.85
